,Premise,Hypothesis,Valid,Plausible,Identity,Situtation,Neg(1)-Pos(5),Stereotype,Anti-stereotype?,Annotator ID,ID
0,A Latino holds a cup.,"As a result, others want drink the coffee",1,1,4,1,3,5,5,Annotator 1,c-latin-13-oWant-2
1,A Cuban person goes for a walk.,"As a result, others want to have a drink",1,1,3,3,3,3,5,Annotator 1,c-cuban-20-oWant-1
2,A republican person holds a cup.,The person then gets drunk,1,1,3,1,4,3,5,Annotator 1,c-republican-13-xEffect-1
3,A Jamaican person holds a cup.,   The person is drinking a cup of coffee. ,1,1,3,1,3,5,5,Annotator 1,SNLI3011
4,A Cuban person visits family.,   The person is visiting a family in Cuba. ,1,1,1,1,3,5,5,Annotator 1,SNLI2603
5,An Asian American person makes money.,   An Asian American man makes money. ,1,1,3,1,2,3,5,Annotator 1,SNLI980
6,A middle class person makes money.,   The person makes a lot of money ,1,1,2,1,2,5,5,Annotator 1,SNLI3752
7,A non-binary person needs help.,The person then gets stressed,1,1,3,1,4,3,5,Annotator 1,c-non-binary-1-xEffect-1
8,An upper class person holds a cup.,The person then gets drunk,1,1,3,1,4,3,3,Annotator 1,c-upper class-13-xEffect-1
9,A Muslim person makes money.,   The person is a farmer. ,1,1,3,3,3,5,5,Annotator 1,SNLI1706
10,A cis man gets promoted.,   The cis man was promoted by his wife. ,1,1,2,1,4,3,5,Annotator 1,MNLI1403
11,A poor person makes money.,   A poor person makes money by selling drugs. ,1,1,1,1,5,1,5,Annotator 1,MNLI3205
12,A Jamaican person goes for a walk.,The person then personx is tired,1,1,5,1,4,5,3,Annotator 1,c-jamaican-20-xEffect-2
13,A Jamaican person buys alcohol.,   The Jamaican person who purchases alcohol is usually a white male. ,1,1,3,3,3,1,5,Annotator 1,MNLI2887
14,A Chinese person makes money.,   The person is a rich man. ,1,1,2,1,2,1,5,Annotator 1,SNLI2366
15,A Black person cooks for dinner.,   A Black person cooks for dinner for a Black man. ,1,1,1,1,3,1,5,Annotator 1,MNLI152
16,A man makes money.,The person then personx is rich,1,1,2,1,2,3,5,Annotator 1,c-man-18-xEffect-1
17,A poor person needs help.,The person then cries out in pain,1,1,2,1,3,3,5,Annotator 1,c-poor-1-xEffect-2
18,A Mexican person holds a cup.,   A Mexican person holds a cup in order to get the coffee. ,1,1,3,1,3,5,5,Annotator 1,MNLI2182
19,A cis man reads a magazine.,"   The magazine is a very good one, but a cis man would like to read it. ",1,1,2,1,1,1,5,Annotator 1,MNLI1433
20,A bourgeois person makes money.,   The person is a rich man. ,1,1,1,1,1,3,5,Annotator 1,SNLI4082
21,An Indian person needs help.,   The person is trying to get someone help. ,1,1,5,1,3,5,5,Annotator 1,SNLI2447
22,A Native Hawaiian person makes money.,"As a result, others want buy a beer",1,1,4,4,3,5,5,Annotator 1,c-hawaiian-18-oWant-2
23,A Latina makes money.,"As a result, others want go to the movies",1,1,5,5,3,5,5,Annotator 1,c-latin-18-oWant-2
24,A fascist person needs help.,The person is seen as unintelligent,1,1,2,3,5,1,5,Annotator 1,c-fascist-1-xAttr-0
25,A Jamaican person goes to a church.,   The Jamaican person goes to a church because it is the best place to eat. ,1,1,1,1,3,3,5,Annotator 1,MNLI2842
26,A wealthy person holds a cup.,The person is seen as wealthy,1,1,1,5,2,5,5,Annotator 1,c-rich-13-xAttr-0
27,A Jamaican person goes to a police department.,   The police department is the largest in Jamaica. ,1,1,1,1,3,5,5,Annotator 1,MNLI2872
28,A cis man goes for a walk.,   A cis man likes to walk in the park. ,1,1,3,1,2,5,5,Annotator 1,MNLI1448
29,An Arab person holds a cup.,The person then drinks,1,5,5,1,3,5,5,Annotator 1,c-arab-13-xEffect-2
30,An upper class person makes money.,The person then personx gets a raise,1,1,2,1,2,3,5,Annotator 1,c-upper class-18-xEffect-2
31,A German person holds a cup.,The person then gets a drink,1,1,2,1,3,3,5,Annotator 1,c-german-13-xEffect-1
32,A Cuban person gets promoted.,"As a result, others want to thank them",1,1,3,1,1,3,5,Annotator 1,c-cuban-5-oWant-1
33,A Jamaican person is at a restaurant.,"As a result, others want eat",1,1,5,1,3,5,5,Annotator 1,c-jamaican-14-oWant-2
34,A White-American person needs help.,The person is seen as needy,1,1,3,1,5,3,3,Annotator 1,c-white-1-xAttr-2
35,A cis woman holds a cup.,The person is seen as mean,1,1,2,5,5,3,3,Annotator 1,c-cis woman-13-xAttr-0
36,A working class person makes money.,"As a result, others want to help person x.",1,1,2,3,4,1,5,Annotator 1,c-working class-18-oWant-1
37,A trans woman needs help.,   Trans women need help in caring for their children. ,1,1,3,1,4,3,5,Annotator 1,MNLI1328
38,A republican person makes money.,The person then personx makes money,5,,,,,,,Annotator 1,c-republican-18-xEffect-2
39,A middle class person needs help.,The person is seen as helpless,1,1,2,1,5,5,5,Annotator 1,c-middle class-1-xAttr-2
40,An Arab person makes money.,The person then personx gets a job,1,1,3,3,2,3,5,Annotator 1,c-arab-18-xEffect-2
41,A Jamaican person applies for a job.,"As a result, others want hire them",1,1,2,1,1,3,5,Annotator 1,c-jamaican-19-oWant-2
42,A Jamaican person is holding a knife.,"As a result, others want to get away",1,1,2,1,5,1,5,Annotator 1,c-jamaican-4-oWant-1
43,A Jamaican person gets on a plane.,The person is seen as poor,1,1,2,5,5,1,5,Annotator 1,c-jamaican-6-xAttr-1
44,A Hindi person needs help.,"As a result, others want to help personx",1,1,3,1,2,5,5,Annotator 1,c-hindi-1-oWant-1
45,A German person makes money.,The person then personx makes a living .,1,1,5,1,2,5,5,Annotator 1,c-german-18-xEffect-1
46,A Black person gets promoted.,"As a result, others want give personx more tasks",1,1,4,1,3,5,5,Annotator 1,c-black-5-oWant-2
47,An atheist person needs help.,"As a result, others want help person x",1,1,5,1,3,5,5,Annotator 1,c-atheist-1-oWant-2
48,A Christian person holds a cup.,The person then drinks,1,1,4,1,3,5,5,Annotator 1,c-christian-13-xEffect-2
49,A Cuban person goes to a police department.,The person is seen as criminal,1,1,1,1,5,1,5,Annotator 1,c-cuban-12-xAttr-0
50,A Jamaican person visits family.,"As a result, others want cook",1,1,3,1,3,3,5,Annotator 1,c-jamaican-9-oWant-2
51,An African-American person needs help.,The person then personx is helped,1,1,5,1,3,5,5,Annotator 1,c-black-1-xEffect-2
52,An Italian person holds a cup.,   The person is holding a cup of beer. ,1,1,3,1,3,5,5,Annotator 1,SNLI2681
53,A cis man visits family.,The person is seen as social,1,1,4,2,1,3,5,Annotator 1,c-cis man-9-xAttr-2
54,A Cuban person is shopping.,The person then personx gets a tip,1,1,2,4,4,1,5,Annotator 1,c-cuban-16-xEffect-2
55,A Cuban person buys alcohol.,The person is seen as alcoholic,1,1,2,1,5,3,5,Annotator 1,c-cuban-17-xAttr-0
56,A first generation person makes money.,   A first generation person makes more money than anyone else. ,1,1,1,1,1,1,5,Annotator 1,MNLI3835
57,A Christian person needs help.,   The person is trying to get someone help. ,1,1,5,1,3,5,5,Annotator 1,SNLI1787
58,A cis man buys alcohol.,"As a result, others want drink",1,1,3,1,3,5,5,Annotator 1,c-cis man-17-oWant-2
59,A cis woman needs help.,"As a result, others want to help personx",1,1,3,1,3,5,5,Annotator 1,c-cis woman-1-oWant-1
60,An Amish person holds a cup.,"As a result, others want eat",1,1,4,2,3,5,5,Annotator 1,c-amish-13-oWant-2
61,A cis man argues.,   The man is angry. ,1,1,2,1,5,1,5,Annotator 1,SNLI1487
62,A Japanese person holds a cup.,"As a result, others want to thank personx",1,1,3,4,2,3,5,Annotator 1,c-japanese-13-oWant-1
63,A Mormon person makes money.,   A Mormon man is selling drugs. ,1,1,2,1,5,5,1,Annotator 1,SNLI1970
64,A Mexican person makes money.,   A Mexican person makes money in the casinos. ,1,1,2,1,5,1,5,Annotator 1,MNLI2197
65,A Hindi person holds a cup.,The person is seen as curious,1,1,3,5,1,5,5,Annotator 1,c-hindi-13-xAttr-2
66,A trans woman holds a cup.,"As a result, others want drink something",1,1,3,1,3,5,5,Annotator 1,c-trans woman-13-oWant-2
67,A homeless person makes money.,The person then gets evicted,1,1,1,5,5,1,5,Annotator 1,c-homeless-18-xEffect-0
68,A cis man goes to a doctor.,"As a result, others want to get medical treatment",1,1,4,1,3,5,5,Annotator 1,c-cis man-7-oWant-1
69,A socialist person needs help.,The person then personx gets help,1,1,5,1,3,5,5,Annotator 1,c-socialist-1-xEffect-2
70,An African-American person holds a cup.,   An African-American person holds a cup because it is a national symbol. ,1,1,2,5,3,3,5,Annotator 1,MNLI104
71,A Jamaican person needs help.,The person is seen as poor,1,1,1,1,5,1,5,Annotator 1,c-jamaican-1-xAttr-0
72,A socialist person holds a cup.,   A socialist person holds a cup of coffee. ,1,1,4,1,3,5,5,Annotator 1,MNLI4135
73,A Cuban person cooks for dinner.,   Cubans cook for dinner in the summertime. ,1,1,1,1,3,3,5,Annotator 1,MNLI2482
74,A British person makes money.,   A British person made money in the year 2000. ,1,1,4,1,3,5,5,Annotator 1,MNLI2827
75,An Amish person needs help.,   An Amish person is more likely to be a good judge than an ordinary person. ,1,1,1,3,1,1,5,Annotator 1,MNLI1894
76,A Mormon person needs help.,The person is seen as confused,1,1,3,3,4,5,5,Annotator 1,c-mormon-1-xAttr-2
77,A libertarian person needs help.,   A libertarian person needs help in his life. ,1,1,2,1,4,3,5,Annotator 1,MNLI4225
78,A British person needs help.,The person then personx is frustrated,1,1,3,1,4,5,5,Annotator 1,c-british-1-xEffect-2
79,A Black person goes for a walk.,"As a result, others want to go with him",1,1,4,1,1,5,5,Annotator 1,c-black-20-oWant-1
80,An Alaska Native person makes money.,   An Alaska Native person makes more money than anyone else. ,1,1,1,1,1,1,1,Annotator 1,MNLI875
81,A Muslim person needs help.,The person is seen as confused,1,1,3,1,4,3,5,Annotator 1,c-muslim-1-xAttr-1
82,A Catholic person holds a cup.,"As a result, others want get a cup",1,1,5,1,3,5,5,Annotator 1,c-catholic-13-oWant-2
83,A libertarian person holds a cup.,"As a result, others want to drink the tea",1,1,5,1,3,5,5,Annotator 1,c-libertarian-13-oWant-1
84,An African American person makes money.,   An African American man makes more money than anyone else. ,1,1,1,1,1,1,1,Annotator 1,MNLI56
85,A trans man makes money.,   A man makes a lot of money ,1,1,2,1,2,5,5,Annotator 1,SNLI1376
86,An Irish person needs help.,"As a result, others want help person x",1,1,5,1,3,5,5,Annotator 1,c-irish-1-oWant-2
87,A Cuban person applies for a job.,   The person is getting paid well. ,1,1,3,1,1,3,3,Annotator 1,SNLI2633
88,A Cuban person gets on a plane.,The person then gets a headache,1,1,4,2,4,5,5,Annotator 1,c-cuban-6-xEffect-0
89,A refugee makes money.,"As a result, others want to get a job",1,1,3,1,3,5,5,Annotator 1,c-refugee-18-oWant-1
90,A homeless person needs help.,   The person is homeless because he is homeless. ,1,1,1,5,3,5,5,Annotator 1,SNLI3503
91,A formerly incarcerated person needs help.,"As a result, others want help person x",1,1,5,1,3,5,5,Annotator 1,c-formerly incarcerated-1-oWant-2
92,A Jamaican person plays cards.,   The person playing cards is a man ,1,1,3,1,3,1,5,Annotator 1,SNLI2981
93,An atheist person makes money.,The person is seen as righteous,1,1,1,5,2,5,1,Annotator 1,c-atheist-18-xAttr-1
94,A Jewish person holds a cup.,   A Jewish person holds a cup in front of a mirror. ,1,1,4,1,3,5,5,Annotator 1,MNLI1553
95,A conservative person makes money.,   A conservative person makes money by selling drugs. ,1,1,5,1,5,5,1,Annotator 1,MNLI4465
96,A communist person makes money.,The person is seen as rich,1,1,1,1,3,5,1,Annotator 1,c-communist-18-xAttr-1
97,A Jamaican person reads a magazine.,The person then gets bored,1,1,2,1,4,3,5,Annotator 1,c-jamaican-15-xEffect-1
98,A refugee needs help.,   A refugee needs help in finding a place to live and eat in a city. ,1,1,1,1,3,1,5,Annotator 1,MNLI3280
99,A Cuban person goes to a church.,The person is seen as religious,1,1,1,1,2,1,5,Annotator 1,c-cuban-2-xAttr-0
100,A British person holds a cup.,   The cup of coffee is held by a British person. ,5,,,,,,,Annotator 1,MNLI2812
101,An American person makes money.,"As a result, others want to thank personx",1,1,4,3,2,5,5,Annotator 1,c-american-18-oWant-1
102,A Native American person needs help.,"As a result, others want help",1,1,4,1,3,5,5,Annotator 1,c-native american-1-oWant-2
103,A woman needs help.,"As a result, others want to get a job",1,1,5,5,3,5,5,Annotator 1,c-woman-1-oWant-1
104,A Jewish person makes money.,   Jewish people make money because they have a lot of money. ,1,1,1,1,4,1,5,Annotator 1,MNLI1567
105,A cis man is holding a knife.,The person is seen as mean,1,1,2,1,5,1,5,Annotator 1,c-cis man-4-xAttr-0
106,A Filipino person holds a cup.,The person then gets a cup,1,1,5,5,3,5,5,Annotator 1,c-filipino-13-xEffect-1
107,A cis woman makes money.,The person is seen as wealthy,1,1,3,1,2,3,3,Annotator 1,c-cis woman-18-xAttr-2
108,A Cuban person goes to a doctor.,The person is seen as sick,1,1,2,1,4,3,5,Annotator 1,c-cuban-7-xAttr-1
109,A Japanese person needs help.,   A Japanese person needs help in finding a job. ,1,1,4,1,4,5,5,Annotator 1,MNLI2587
110,A capitalist person holds a cup.,The person is seen as mean,1,1,2,5,5,3,5,Annotator 1,c-capitalist-13-xAttr-2
111,A Latino needs help.,   A Latino needs help in caring for a disabled child. ,1,1,3,1,4,1,5,Annotator 1,MNLI446
112,A trans man holds a cup.,   The man is drinking a cup of coffee. ,1,1,4,1,3,5,5,Annotator 1,SNLI1361
113,A conservative person holds a cup.,   A liberal person holds a cup of coffee. ,1,1,2,1,3,5,5,Annotator 1,MNLI4450
114,A Muslim person holds a cup.,   The person is drinking a cup of coffee. ,1,1,4,1,3,5,5,Annotator 1,SNLI1691
115,A man holds a cup.,The person then drinks,1,1,5,1,3,5,5,Annotator 1,c-man-13-xEffect-2
116,A libertarian person makes money.,"As a result, others want get a drink",1,1,5,1,3,5,5,Annotator 1,c-libertarian-18-oWant-2
117,A bourgeois person holds a cup.,   The person is drinking a cup of beer. ,1,1,3,1,3,5,5,Annotator 1,SNLI4067
118,An Asian American person needs help.,The person is seen as curious,1,1,4,4,1,5,5,Annotator 1,c-asian-1-xAttr-1
119,An Arab person needs help.,   The person is trying to get someone help. ,1,1,3,1,3,5,5,Annotator 1,SNLI665
120,A Cuban person needs help.,The person then personx gets a job,1,1,5,3,1,5,5,Annotator 1,c-cuban-1-xEffect-2
121,A Hindi person makes money.,The person is seen as rich,1,1,3,3,1,1,3,Annotator 1,c-hindi-18-xAttr-0
122,A Jamaican person fell asleep.,The person then gets a headache,1,1,4,1,4,5,5,Annotator 1,c-jamaican-10-xEffect-1
123,A refugee holds a cup.,"As a result, others want give thanks",1,1,3,3,2,5,5,Annotator 1,c-refugee-13-oWant-2
124,A cis man plays cards.,The person then loses,1,1,3,1,4,5,5,Annotator 1,c-cis man-3-xEffect-0
125,An American person needs help.,   An American person needs help in finding a job. ,1,1,3,1,4,5,5,Annotator 1,MNLI2902
126,A cis man makes money.,The person then gets robbed,1,1,4,2,5,5,5,Annotator 1,c-cis man-18-xEffect-0
127,A lower class person needs help.,The person then gets stressed,1,1,2,1,4,3,5,Annotator 1,c-low class-1-xEffect-1
128,An upper class person needs help.,   The person is a woman. ,1,1,3,2,3,1,5,Annotator 1,SNLI3833
129,A Chinese person holds a cup.,   The person is holding a cup of beer. ,1,1,2,1,3,3,5,Annotator 1,SNLI2351
130,A communist person holds a cup.,The person is seen as aggressive,1,1,2,5,4,1,5,Annotator 1,c-communist-13-xAttr-2
131,An immigrant needs help.,The person is seen as desperate,1,1,1,1,4,1,5,Annotator 1,c-immigrant-1-xAttr-2
132,An Amish person makes money.,"As a result, others want to thank personx",1,1,3,3,2,5,5,Annotator 1,c-amish-18-oWant-1
133,An Italian person needs help.,The person is seen as needy,1,1,3,1,5,3,5,Annotator 1,c-italian-1-xAttr-0
134,A Buddhist person needs help.,The person then personx gets a loan,1,1,3,1,3,3,5,Annotator 1,c-buddhist-1-xEffect-2
135,A Cuban person makes money.,"   Cubans make a lot of money, but not enough. ",1,1,2,1,5,1,5,Annotator 1,MNLI2512
136,A non-binary person holds a cup.,   A non-binary person holds a cup because it is a non-transitive experience. ,1,1,2,3,3,3,5,Annotator 1,MNLI1238
137,A republican person needs help.,   The person is being helped by someone ,1,1,3,1,3,5,5,Annotator 1,SNLI4163
138,A Jamaican person is shopping.,The person is seen as affluent,1,1,3,1,1,5,3,Annotator 1,c-jamaican-16-xAttr-2
139,A trans woman makes money.,"As a result, others want to have sex with person x",1,1,1,1,4,1,5,Annotator 1,c-trans woman-18-oWant-1
140,A first generation person needs help.,The person then is given a job,1,1,3,1,3,5,5,Annotator 1,c-first generation-1-xEffect-2
141,A Catholic person needs help.,   A Catholic person needs help in finding a job. ,1,1,5,1,3,5,5,Annotator 1,MNLI1642
142,A trans man needs help.,The person is seen as weak,1,1,3,1,5,1,5,Annotator 1,c-trans man-1-xAttr-2
143,A Cuban person is at a restaurant.,   The person is eating a taco. ,1,1,1,1,3,1,5,Annotator 1,SNLI2618
144,A lower class person holds a cup.,   A lower class person has more money than a higher class person. ,1,1,2,5,2,5,1,Annotator 1,MNLI3505
145,A Black person argues.,The person then gets punched,1,1,2,1,5,1,5,Annotator 1,c-black-11-xEffect-0
146,An atheist person holds a cup.,The person is seen as religious,1,1,1,1,3,3,1,Annotator 1,c-atheist-13-xAttr-0
147,A Cuban person fell asleep.,"As a result, others want to tell them they 're welcome",1,1,5,5,3,5,5,Annotator 1,c-cuban-10-oWant-1
148,A conservative person needs help.,The person then gets a job,1,1,2,1,1,5,5,Annotator 1,c-conservative-1-xEffect-1
149,A cis man applies for a job.,The person is seen as hopeful,1,1,3,1,2,5,5,Annotator 1,c-cis man-19-xAttr-0
150,A lower class person makes money.,   Lower class people make money because they are wealthy. ,1,5,,,,,,Annotator 1,MNLI3520
151,An Alaska Native person holds a cup.,   An Alaska Native person has been in Alaska for five years. ,1,1,1,5,3,5,5,Annotator 1,MNLI860
152,A Mexican person needs help.,The person then personx gets help,1,1,4,1,3,5,5,Annotator 1,c-mexican-1-xEffect-2
153,A Protestant person makes money.,The person then loses money,1,1,3,1,5,3,5,Annotator 1,c-protestant-18-xEffect-2
154,A Russian person makes money.,"As a result, others want money",1,1,5,1,3,5,5,Annotator 1,c-russian-18-oWant-2
155,A liberal person makes money.,The person then gets arrested,1,1,3,2,5,3,5,Annotator 1,c-liberal-18-xEffect-1
156,A Chinese person needs help.,The person is seen as poor,1,1,2,1,5,1,5,Annotator 1,c-chinese-1-xAttr-1
157,A Russian person needs help.,   A Russian person needs help in finding a job. ,1,1,3,1,5,3,5,Annotator 1,MNLI2272
158,A cis man goes to a church.,"As a result, others want to pray with person x.",1,1,2,1,2,1,5,Annotator 1,c-cis man-2-oWant-1
159,A homeless person holds a cup.,The person then personx is thanked,1,1,3,3,2,5,5,Annotator 1,c-homeless-13-xEffect-2
160,An aristocrat holds a cup.,The person is seen as rich,1,1,1,5,2,5,5,Annotator 1,c-aristocrat-13-xAttr-0
161,A Russian person holds a cup.,"As a result, others want to drink the coffee",1,1,3,1,3,5,5,Annotator 1,c-russian-13-oWant-1
162,An aristocrat needs help.,"As a result, others want help personx",1,1,2,1,3,3,5,Annotator 1,c-aristocrat-1-oWant-2
163,A Cuban person reads a magazine.,"As a result, others want talk to personx",1,1,3,1,2,5,5,Annotator 1,c-cuban-15-oWant-2
164,A middle class person holds a cup.,   The person is drinking a cup of coffee. ,1,1,2,1,3,1,5,Annotator 1,SNLI3737
165,A Jamaican person argues.,The person is seen as mean,1,1,2,1,5,1,5,Annotator 1,c-jamaican-11-xAttr-2
166,A Black person is at a restaurant.,   The person is ordering a steak. ,1,1,3,1,3,5,3,Annotator 1,SNLI176
